Title,Year,Rated,Genre,Director,Actors,imdbRating
Lights Out,2016,PG-13,Horror,David F. Sandberg,"Teresa Palmer, Gabriel Bateman, Alexander DiPersia, Billy Burke",6.3
Star Trek Beyond,2016,N/A,"Documentary, Short",N/A,"Chris Pine, Zachary Quinto, Zoe Saldana",N/A
Nerve,2016,PG-13,"Adventure, Crime, Mystery","Henry Joost, Ariel Schulman","Emma Roberts, Dave Franco, Emily Meade, Miles Heizer",6.6
Bad Moms,2016,R,Comedy,"Jon Lucas, Scott Moore","Mila Kunis, Kathryn Hahn, Kristen Bell, Christina Applegate",6.2
Jason Bourne,2016,PG-13,"Action, Thriller",Paul Greengrass,"Matt Damon, Tommy Lee Jones, Alicia Vikander, Vincent Cassel",6.6
Nine Lives,2016,PG,"Comedy, Drama, Family",Barry Sonnenfeld,"Kevin Spacey, Jennifer Garner, Robbie Amell, Cheryl Hines",5.3
Suicide Squad,2016,PG-13,"Action, Adventure, Fantasy",David Ayer,"Will Smith, Jaime FitzSimons, Ike Barinholtz, Margot Robbie",6.1
Florence Foster Jenkins,2016,PG-13,"Biography, Comedy, Drama",Stephen Frears,"Meryl Streep, Hugh Grant, Simon Helberg, Rebecca Ferguson",6.9
Pete's Dragon,2016,PG,"Action, Adventure, Comedy",David Lowery,"Bryce Dallas Howard, Robert Redford, Oakes Fegley, Oona Laurence",6.7
Sausage Party,2016,R,"Animation, Adventure, Comedy","Greg Tiernan, Conrad Vernon","Alistair Abell, Iris Apatow, Sugar Lyn Beard, Michael Cera",6.2
Ben-Hur,1959,G,"Adventure, Drama, History",William Wyler,"Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd",8.1
Kubo and the Two Strings,2016,PG,"Animation, Adventure, Family",Travis Knight,"Art Parkinson, Charlize Theron, Ralph Fiennes, Brenda Vaccaro",7.8
War Dogs,2016,R,"Comedy, Crime, Drama",Todd Phillips,"Miles Teller, Steve Lantz, Gregg Weiner, David Packouz",7.1
Don't Breathe,2016,R,"Crime, Horror, Thriller",Fede Alvarez,"Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto",7.1
Hands of Stone,2016,R,"Action, Biography, Drama",Jonathan Jakubowicz,"Edgar Ramírez, Robert De Niro, Usher Raymond, Rubén Blades",6.6
Mechanic Resurrection,2016,R,"Action, Adventure, Crime",Dennis Gansel,"Jason Statham, Jessica Alba, Tommy Lee Jones, Michelle Yeoh",5.7
The Light Between Oceans,2016,PG-13,"Drama, Romance",Derek Cianfrance,"Michael Fassbender, Alicia Vikander, Rachel Weisz, Florence Clery",7.2
Morgan,2016,R,"Action, Horror, Sci-Fi",Luke Scott,"Kate Mara, Anya Taylor-Joy, Rose Leslie, Michael Yare",5.8
The Disappointments Room,2016,R,"Drama, Horror, Thriller",D.J. Caruso,"Kate Beckinsale, Mel Raido, Duncan Joiner, Lucas Till",3.9
Sully,2016,PG-13,"Biography, Drama",Clint Eastwood,"Tom Hanks, Aaron Eckhart, Valerie Mahaffey, Delphi Harrington",7.5
When the Bough Breaks,2016,PG-13,"Crime, Drama, Horror",Jon Cassar,"Morris Chestnut, Regina Hall, Romany Malco, Michael Kenneth Williams",4.9
Blair Witch ,2016,R,"Horror, Thriller",Adam Wingard,"James Allen McCune, Callie Hernandez, Corbin Reid, Brandon Scott",5.0
Bridget Jones's Baby,2016,R,"Comedy, Romance",Sharon Maguire,"Renée Zellweger, Gemma Jones, Jim Broadbent, Sally Phillips",6.6
Snowden,2016,R,"Biography, Drama, Thriller",Oliver Stone,"Melissa Leo, Zachary Quinto, Joseph Gordon-Levitt, Jaymes Butler",7.3
The Magnificent Seven,2016,PG-13,"Action, Adventure, Western",Antoine Fuqua,"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio",6.9
Queen of Katwe,2016,PG,"Biography, Drama, Sport",Mira Nair,"Madina Nalwanga, David Oyelowo, Lupita Nyong'o, Martin Kabanza",7.4
Storks,2016,PG,"Animation, Adventure, Comedy","Nicholas Stoller, Doug Sweetland","Andy Samberg, Katie Crown, Kelsey Grammer, Jennifer Aniston",6.8
Deepwater Horizon,2016,PG-13,"Action, Drama, Thriller",Peter Berg,"Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont",7.2
Masterminds,2016,PG-13,"Action, Comedy, Crime",Jared Hess,"Zach Galifianakis, Kristen Wiig, Owen Wilson, Ross Kimball",5.8
Miss Peregrine's Home for Peculiar Children,2016,PG-13,"Adventure, Drama, Family",Tim Burton,"Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench",6.7
The Birth of a Nation,1915,NOT RATED,"Drama, History, War",D.W. Griffith,"Lillian Gish, Mae Marsh, Henry B. Walthall, Miriam Cooper",6.7
Middle School: The Worst Years of My Life,2016,PG,"Animation, Comedy, Family",Steve Carr,"Griffin Gluck, Lauren Graham, Alexa Nisenson, Andrew Daly",6.1
The Accountant,2016,R,"Action, Crime, Drama",Gavin O'Connor,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal",7.4
Kevin Hart: What Now?,2016,R,"Documentary, Comedy","Leslie Small, Tim Story","Kevin Hart, Halle Berry, Don Cheadle, Ed Helms",5.8
Max Steel,2016,PG-13,"Action, Adventure, Family",Stewart Hendler,"Ben Winchell, Josh Brener, Maria Bello, Andy Garcia",4.6
Jack Reacher: Never Go Back,2016,PG-13,"Action, Adventure, Crime",Edward Zwick,"Tom Cruise, Cobie Smulders, Aldis Hodge, Danika Yarosh",6.1
Keeping Up with the Joneses,2016,PG-13,"Action, Comedy",Greg Mottola,"Zach Galifianakis, Isla Fisher, Jon Hamm, Gal Gadot",5.9
Ouija: Origin of Evil,2016,PG-13,"Horror, Thriller",Mike Flanagan,"Annalise Basso, Elizabeth Reaser, Lulu Wilson, Henry Thomas",6.1
Inferno,2016,PG-13,"Action, Adventure, Crime",Ron Howard,"Tom Hanks, Felicity Jones, Omar Sy, Irrfan Khan",6.2
Doctor Strange,2016,PG-13,"Action, Adventure, Fantasy",Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",7.5
Hacksaw Ridge,2016,R,"Biography, Drama, History",Mel Gibson,"Andrew Garfield, Richard Pyros, Jacob Warner, Milo Gibson",8.2
Trolls,2016,PG,"Animation, Adventure, Comedy","Mike Mitchell, Walt Dohrn(co-director)","Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse",6.5
Almost Christmas,2016,PG-13,"Comedy, Drama",David E. Talbert,"Danny Glover, Gabrielle Union, Mo'Nique, Kimberly Elise",6.0
Arrival,2016,PG-13,"Drama, Mystery, Sci-Fi",Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg",8.0
Billy Lynn's Long Halftime Walk,2016,R,"Drama, War",Ang Lee,"Joe Alwyn, Garrett Hedlund, Arturo Castro, Mason Lee",6.3
Shut In,2016,PG-13,"Drama, Horror, Thriller",Farren Blackburn,"Naomi Watts, Oliver Platt, Charlie Heaton, Jacob Tremblay",4.7
Bleed For This,2016,R,"Biography, Drama, Sport",Ben Younger,"Miles Teller, Aaron Eckhart, Katey Sagal, Ciarán Hinds",6.8
The Edge of Seventeen,2016,R,"Comedy, Drama",Kelly Fremon Craig,"Hailee Steinfeld, Haley Lu Richardson, Blake Jenner, Kyra Sedgwick",7.4
Fantastic Beasts and Where To Find Them,2016,PG-13,"Adventure, Family, Fantasy",David Yates,"Eddie Redmayne, Sam Redford, Scott Goldman, Tim Bentinck",7.4
Allied,2016,R,"Action, Drama, Romance",Robert Zemeckis,"Brad Pitt, Vincent Ebrahim, Xavier De Guillebon, Marion Cotillard",7.1
Bad Santa 2,2016,R,"Comedy, Crime, Drama",Mark Waters,"Billy Bob Thornton, Kathy Bates, Tony Cox, Christina Hendricks",5.6
Moana,2016,PG,"Animation, Adventure, Comedy","Ron Clements, John Musker, Don Hall(co-director), Chris Williams(co-director)","Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison",7.6
Rules Don't Apply,2016,PG-13,"Comedy, Drama, Romance",Warren Beatty,"Steve Tom, Paul Sorvino, Peter Mackenzie, Ivar Brogger",5.7
Miss Sloane,2016,R,"Drama, Thriller",John Madden,"Jessica Chastain, Christine Baranski, Mark Strong, Michael Stuhlbarg",7.4
Incarnate,2016,PG-13,"Horror, Thriller",Brad Peyton,"Aaron Eckhart, Carice van Houten, Catalina Sandino Moreno, David Mazouz",5.3
Office Christmas Party,2016,R,Comedy,"Josh Gordon, Will Speck","Jason Bateman, Olivia Munn, T.J. Miller, Jennifer Aniston",5.8
Collateral Beauty,2016,PG-13,"Drama, Romance",David Frankel,"Will Smith, Edward Norton, Kate Winslet, Michael Peña",6.8
La La Land,2016,PG-13,"Comedy, Drama, Music",Damien Chazelle,"Ryan Gosling, Emma Stone, Amiée Conn, Terry Walters",8.1
Rogue One: A Star Wars Story,2016,N/A,"Reality-TV, Sci-Fi",N/A,"Anthony Carboni, Andi Gutierrez, David W. Collins, Peter Townley",7.4
Assassin's Creed,2016,PG-13,"Action, Adventure, Fantasy",Justin Kurzel,"Michael Fassbender, Marion Cotillard, Jeremy Irons, Brendan Gleeson",5.8
Passengers,2016,PG-13,"Drama, Sci-Fi, Thriller",Morten Tyldum,"Jennifer Lawrence, Chris Pratt, Michael Sheen, Laurence Fishburne",7.0
Sing,2016,PG,"Animation, Comedy, Family","Garth Jennings, Christophe Lourdelet(co-director)","Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson",7.1
Why Him?,2016,R,Comedy,John Hamburg,"Zoey Deutch, James Franco, Tangie Ambrose, Cedric the Entertainer",6.2
Fences,2016,PG-13,Drama,Denzel Washington,"Denzel Washington, Viola Davis, Stephen Henderson, Jovan Adepo",7.2
