Title,Year,Rated,Genre,Director,Actors,imdbRating
Spider-Man: Homecoming,2017,PG-13,"Action, Adventure, Sci-Fi",Jon Watts,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei",7.6
A Ghost Story,2017,R,"Drama, Fantasy, Romance",David Lowery,"Casey Affleck, Rooney Mara, McColm Cephas Jr., Kenneisha Thompson",6.9
City Of Ghosts,2002,R,"Crime, Drama, Thriller",Matt Dillon,"Matt Dillon, James Caan, Natascha McElhone, Gérard Depardieu",6.0
Despicable Me 3,2017,PG,"Animation, Action, Adventure","Kyle Balda, Pierre Coffin, Eric Guillon(co-director)","Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove",6.3
Baby Driver ,2017,R,"Action, Crime, Music",Edgar Wright,"Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González",7.8
The House,2017,R,Comedy,Andrew Jay Cohen,"Will Ferrell, Amy Poehler, Jason Mantzoukas, Ryan Simpkins",5.6
Transformers: The Last Knight,2017,PG-13,"Action, Adventure, Sci-Fi",Michael Bay,"Mark Wahlberg, Anthony Hopkins, Josh Duhamel, Laura Haddock",5.2
Cars 3,2017,G,"Animation, Adventure, Comedy",Brian Fee,"Owen Wilson, Cristela Alonzo, Chris Cooper, Nathan Fillion",6.9
Rough Night,2017,R,Comedy,Lucia Aniello,"Scarlett Johansson, Jillian Bell, Zoë Kravitz, Ilana Glazer",5.2
All Eyez On Me,2017,R,"Biography, Drama, Music",Benny Boom,"Demetrius Shipp Jr., Danai Gurira, Kat Graham, Hill Harper",5.8
The Mummy,1999,PG-13,"Action, Adventure, Fantasy",Stephen Sommers,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",7.0
It Comes At Night,2017,R,"Horror, Mystery",Trey Edward Shults,"Joel Edgerton, Christopher Abbott, Carmen Ejogo, Riley Keough",6.2
Wonder Woman,2017,PG-13,"Action, Adventure, Fantasy",Patty Jenkins,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright",7.6
Captain Underpants: The First Epic Movie ,2017,PG,"Animation, Action, Comedy",David Soren,"Kevin Hart, Ed Helms, Nick Kroll, Thomas Middleditch",6.2
